anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1994,Grupo A,Rumania,6,3,2,0,1,5,5,0,Si
1994,Grupo A,Suiza,4,3,1,1,1,5,4,1,Si
1994,Grupo A,Estados Unidos,4,3,1,1,1,3,3,0,Si
1994,Grupo A,Colombia,3,3,1,0,2,4,5,-1,No
1994,Grupo B,Brasil,7,3,2,1,0,6,1,5,Si
1994,Grupo B,Suecia,5,3,1,2,0,6,4,2,Si
1994,Grupo B,Rusia,3,3,1,0,2,7,6,1,No
1994,Grupo B,Camerún,1,3,0,1,2,3,11,-8,No
1994,Grupo C,Alemania,7,3,2,1,0,5,3,2,Si
1994,Grupo C,España,5,3,1,2,0,6,4,2,Si
1994,Grupo C,Corea del Sur,2,3,0,2,1,4,5,-1,No
1994,Grupo C,Bolivia,1,3,0,1,2,1,4,-3,No
1994,Grupo D,Nigeria,6,3,2,0,1,6,2,4,Si
1994,Grupo D,Bulgaria,6,3,2,0,1,6,3,3,Si
1994,Grupo D,Argentina,6,3,2,0,1,6,3,3,Si
1994,Grupo D,Grecia,0,3,0,0,3,0,10,-10,No
1994,Grupo E,México,4,3,1,1,1,3,3,0,Si
1994,Grupo E,Irlanda,4,3,1,1,1,2,2,0,Si
1994,Grupo E,Italia,4,3,1,1,1,2,2,0,Si
1994,Grupo E,Noruega,4,3,1,1,1,1,1,0,No
1994,Grupo F,Paises Bajos,6,3,2,0,1,4,3,1,Si
1994,Grupo F,Arabia Saudita,6,3,2,0,1,4,3,1,Si
1994,Grupo F,Bélgica,6,3,2,0,1,2,1,1,Si
1994,Grupo F,Marruecos,0,3,0,0,3,2,5,-3,No
